id,from,to,name,key,description,sort,save
1,1,2,submit,Submit,Save and Submit Account Request,100,True
2,1,5,withdrawndraft,Withdraw,Widthdrawn a request from draft status,200,False
3,2,3,approve,Approve,Save and Approve,300,True
4,2,4,Return,Return,Save and Return to Requester,400,True
5,4,2,resubmit,Submit,Save and Submit a returned Request,500,True
6,4,5,withdrawnreturned,Withdraw,Withdrawn a returned Request,600,False
7,2,6,cancel_request,Cancel,Cancel request,700,False
8,1,3,nestapprove,Approve,Approve,250,True
9,2,7,sethold,Hold,set a request to Hold status,420,True
10,7,6,cancelfromhold,Cancel,Cancel a Hold Account Request,750,True
11,7,3,approvefromhold,Approve,Approve a Hold Account Request,350,True
12,7,4,returnfromhold,Return,Return a Hold Account Request,450,True
